Wellington 1 0 279 667
Ngauranga 3 4.8 290 641
Crofton-Downs 3 4.9 125 600
Ngaio 3 5.2 125 580
Awarua-Street 3 6 125 558
Simla-Crescent 3 6.9 125 533
Box-Hill 3 7.2  125 514
Khandallah 3 8  125 492
Raroa 3 9.2  125 470
Johnsonville 3 10.5  125 446
Petone 4 10.5 288 612
Takapu-Road 4 11.9 226 580
Western-Hutt 4 11.9 290 491
Ava 4 12.5 314 572
Redwood 4 13.1  226 557
Melling 4 13.5 291 461
Tawa 4 13.8 226 537
Woburn 4 14.4 330 554
Linden 4 14.9 226 513
Waterloo 4 15.5 348 527
Kenepuru 5 16.2 226 491
Epuni 5 16.5 376 508
Porirua 5 17.7 226 470
Naenae 5 18.3 397 485
Wingate 5 19.5 405 465
Taita 5 20.6 405 440
Paremata 6 21.9 226 448
Pomare 5 22 405 415
Mana 6 23.2 226 425
Manor-Park 6 23.7 405 387
Plimmerton 6 24.5 227 404
Silverstream 6 26.8 405 363
Heretaunga 6 28.2  405 337
Trentham 6 29.4 405 310
Pukerua-Bay 7 30.4 226 380
Wallaceville 7 31.3 405 284
Upper-Hutt 7 32.4 400 258
Maymorn 8 38.8 395 232
Paekakariki 8 38.8 226 360
Paraparaumu 9 48.3 226 338
Waikanae 10 55.4 226 318
Featherston 11 57.2 395 207
Woodside 12 65.1 395 182
Matarawa 13 69.6 395 155
Carterton 13 76.6 395 132
Solway 14 88.1  395 103
Renall-Street 14 89.4 395 77
Masterton 14 91 395 49
